Date,Country,Provider,Share,Source,Notes
2006-12-01,US,All the Web,0.03,NetApplications,
2006-12-01,US,AltaVista,0.29,NetApplications,
2006-12-01,US,Ask,1.39,NetApplications,
2006-12-01,US,Excite,0.11,NetApplications,
2006-12-01,US,Google,74.98,NetApplications,
2006-12-01,US,Lycos,0.04,NetApplications,
2006-12-01,US,MSN,6.9,NetApplications,
2006-12-01,US,Yahoo,12.52,NetApplications,
2007-01-01,US,AOL,2.37,NetApplications,
2007-01-01,US,All the Web,0.03,NetApplications,
2007-01-01,US,AltaVista,0.24,NetApplications,
2007-01-01,US,Ask,1.39,NetApplications,
2007-01-01,US,Excite,0.1,NetApplications,
2007-01-01,US,Google,74.26,NetApplications,
2007-01-01,US,Lycos,0.04,NetApplications,
2007-01-01,US,MSN,6.87,NetApplications,
2007-01-01,US,Yahoo,13.39,NetApplications,
2007-02-01,US,AOL,2.26,NetApplications,
2007-02-01,US,All the Web,0.03,NetApplications,
2007-02-01,US,AltaVista,0.23,NetApplications,
2007-02-01,US,Ask,1.3,NetApplications,
2007-02-01,US,Excite,0.1,NetApplications,
2007-02-01,US,Google,75.91,NetApplications,
2007-02-01,US,Lycos,0.03,NetApplications,
2007-02-01,US,MSN,6.51,NetApplications,
2007-02-01,US,Yahoo,12.38,NetApplications,
2007-03-01,US,AOL,2.41,NetApplications,
2007-03-01,US,All the Web,0.03,NetApplications,
2007-03-01,US,AltaVista,0.19,NetApplications,
2007-03-01,US,Ask,1.15,NetApplications,
2007-03-01,US,Excite,0.09,NetApplications,
2007-03-01,US,Google,77.66,NetApplications,
2007-03-01,US,Lycos,0.03,NetApplications,
2007-03-01,US,MSN,6.16,NetApplications,
2007-03-01,US,Yahoo,11.23,NetApplications,
2007-04-01,US,AOL,2.44,NetApplications,
2007-04-01,US,All the Web,0.02,NetApplications,
2007-04-01,US,AltaVista,0.18,NetApplications,
2007-04-01,US,Ask,1.27,NetApplications,
2007-04-01,US,Excite,0.09,NetApplications,
2007-04-01,US,Google,77.21,NetApplications,
2007-04-01,US,Lycos,0.03,NetApplications,
2007-04-01,US,MSN,6.09,NetApplications,
2007-04-01,US,Yahoo,11.58,NetApplications,
2007-05-01,US,AOL,2.53,NetApplications,
2007-05-01,US,All the Web,0.03,NetApplications,
2007-05-01,US,AltaVista,0.2,NetApplications,
2007-05-01,US,Ask,1.42,NetApplications,
2007-05-01,US,Excite,0.1,NetApplications,
2007-05-01,US,Google,74.54,NetApplications,
2007-05-01,US,Lycos,0.03,NetApplications,
2007-05-01,US,MSN,6.72,NetApplications,
2007-05-01,US,Yahoo,13.37,NetApplications,
2007-06-01,US,AOL,2.64,NetApplications,
2007-06-01,US,All the Web,0.02,NetApplications,
2007-06-01,US,AltaVista,0.19,NetApplications,
2007-06-01,US,Ask,1.3,NetApplications,
2007-06-01,US,Excite,0.09,NetApplications,
2007-06-01,US,Google,73.75,NetApplications,
2007-06-01,US,Lycos,0.03,NetApplications,
2007-06-01,US,MSN,6.75,NetApplications,
2007-06-01,US,Yahoo,14.14,NetApplications,
2007-07-01,US,AOL,2.69,NetApplications,
2007-07-01,US,All the Web,0.02,NetApplications,
2007-07-01,US,AltaVista,0.17,NetApplications,
2007-07-01,US,Ask,1.21,NetApplications,
2007-07-01,US,Excite,0.09,NetApplications,
2007-07-01,US,Google,73.94,NetApplications,
2007-07-01,US,Lycos,0.03,NetApplications,
2007-07-01,US,MSN,6.62,NetApplications,
2007-07-01,US,Yahoo,14.23,NetApplications,
2007-08-01,US,AOL,2.41,NetApplications,
2007-08-01,US,All the Web,0.02,NetApplications,
2007-08-01,US,AltaVista,0.16,NetApplications,
2007-08-01,US,Ask,1.13,NetApplications,
2007-08-01,US,Excite,0.08,NetApplications,
2007-08-01,US,Google,75.65,NetApplications,
2007-08-01,US,Lycos,0.03,NetApplications,
2007-08-01,US,MSN,6.36,NetApplications,
2007-08-01,US,Yahoo,13.21,NetApplications,
